hash,block_number,from,token_b_address,token_a_amount_raw,token_a_address,token_b_amount_raw,token_b_address (1),fee
\x0bbe8961428dcc7ad865abb7d025c9ffacf3c86c4e16756723be919135e017fe,12168505,\x99c6fbba6644f427513283fec39516671fe15c73,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,842760417231257359527,\x956f47f50a910163d8bf957cf5846d573e7f87ca,469310538337122748794,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18728878122535574
\x645977cc246788e5cbde3406973ad30b527138d2af1a9fa0e3f56110f787e82c,12168505,\x46134a88c91f27b03123dcff17a13ca22fb5180f,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,1320742515927675304394,\x956f47f50a910163d8bf957cf5846d573e7f87ca,735253176728158973111,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18107381619568738
\x6f67aa4b6c355b45b050edd10e6d3a21de5ef88ec147be31d6005d01c992f947,12168505,\x131c9ea4828c8a16bfea5f0c823813b320b35d21,\x956f47f50a910163d8bf957cf5846d573e7f87ca,27683772246025641916564,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,50000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26428362000000000
\x32e1bf3a2ee8de4208bb74e5c7dcceb070d4fc12bff514a8563a23c96adb6308,12168505,\xb029d0b856eb75ef623cd3a17ac25fae5bd788c9,\x956f47f50a910163d8bf957cf5846d573e7f87ca,6626779681516452927369,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,11959977539948325831690,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26752824000000000
\x03c4dab70b9730218dc7bd7c00dd025eaa62fa88cf812de833733e78609eb6d6,12168505,\x2bf863a129cd3faffcfc6e7caa49588d446b2af3,\x956f47f50a910163d8bf957cf5846d573e7f87ca,2766756732960747789175,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,5000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,22817090000000000
\x3a807b9bda041d808a43a1a5ff4fa17a710b339d2e6c79278d2cd2af9fd63f3b,12168506,\x1cd78a61c743660a578f66cd2cf7fffa3810c03c,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,28098122369314992211759,\x956f47f50a910163d8bf957cf5846d573e7f87ca,15643684611237424959821,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,20386319822374058
\xa2ba372076f926edd24366ce8876fa0688a271ebda98e3417db61d1fa7e4658e,12168506,\xbd0b0c142045bb24e9b380f4f10ebaf4df5aec6a,\x956f47f50a910163d8bf957cf5846d573e7f87ca,419065222500795449,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,898582296073492196001,\x956f47f50a910163d8bf957cf5846d573e7f87ca,49085246153871231
\x48671ba6bf1d3003922a7e5afcd5a344d03dcadd469fa42e55480ae915fb0d64,12168506,\x9b98d994737bd5b94573d3c3c0679b38ac4a6ee8,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,28090068994980634768163,\x956f47f50a910163d8bf957cf5846d573e7f87ca,15643684611237424959822,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,17835323019574330
\x230cada328f086eccf8918db7a659d7265fdbaf46c6d8a87517f43e1b40e8645,12168506,\xa7f881702b28ecf1838681bc02a4c5553247d232,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,21314403374914752582010,\x956f47f50a910163d8bf957cf5846d573e7f87ca,10000000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,54255175759545247
\xf03ba7b68baed152b527258bab7a84f8d3ebf8359c5fc866accf3fb743197239,12168507,\xf2d25fcb1d60213c5eea0da47d7c2801bf5c23fd,\x956f47f50a910163d8bf957cf5846d573e7f87ca,16904426282353324911697,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,30566516729938688299054,\x956f47f50a910163d8bf957cf5846d573e7f87ca,25525360000000000
